"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.870740656E2,5.311034573E1,8.885864611E0,1.956281439E0,4.102780386E0,2.081523223E2,5.037246413E0,5.037246413E0
1.880740499E2,5.311028874E1,8.885796289E0,1.906000957E0,4.306615869E0,2.161265488E2,4.974894644E0,4.974894644E0
1.890740380E2,5.311024375E1,8.885750427E0,1.898298891E0,4.108507781E0,2.175928763E2,4.940926134E0,4.940926134E0
1.900740197E2,5.311021322E1,8.885709383E0,1.842569682E0,3.618767408E0,2.210322332E2,4.937675216E0,4.937675216E0
1.910740052E2,5.311018310E1,8.885680501E0,2.123780617E0,3.212120216E0,2.159859874E2,4.935243058E0,4.935243058E0
1.920739872E2,5.311016578E1,8.885663544E0,2.868574858E-2,2.416845506E0,2.133892761E2,4.935832025E0,4.935832025E0
1.930739719E2,5.311015209E1,8.885611826E0,2.712646909E-1,2.961035887E0,2.409263818E2,4.928581220E0,4.928581220E0
1.940739595E2,5.311016602E1,8.885531141E0,-6.128111714E-1,3.783272172E0,2.826893939E2,4.950350962E0,4.950350962E0
1.950739412E2,5.311017555E1,8.885477604E0,7.838972006E-2,3.436415762E0,2.971033275E2,4.955971281E0,4.955971281E0
1.960739259E2,5.311019024E1,8.885431646E0,9.472951079E-1,2.880056494E0,2.998081896E2,4.955284484E0,4.955284484E0
1.970739105E2,5.311020198E1,8.885367133E0,2.120047913E0,3.112707597E0,2.961523755E2,4.967928640E0,4.967928640E0
1.980738974E2,5.311022714E1,8.885311339E0,1.250790827E0,3.447291416E0,3.020275275E2,4.969435678E0,4.969435678E0
1.990738792E2,5.311023892E1,8.885225918E0,1.339168132E0,4.100277286E0,2.927323829E2,4.973438068E0,4.973438068E0
2.000738653E2,5.311027270E1,8.885167613E0,4.383908680E0,4.370340333E0,3.049615583E2,4.982282500E0,4.982282500E0
2.010738499E2,5.311029052E1,8.885102586E0,4.150857304E0,4.393380595E0,3.051455313E2,4.979531570E0,4.979531570E0
2.020738394E2,5.311030488E1,8.885035985E0,3.925475073E0,4.274880927E0,2.998225315E2,4.973654016E0,4.973654016E0
2.030738252E2,5.311032318E1,8.884980533E0,2.392589870E0,3.998718841E0,2.985081707E2,5.007935934E0,5.007935934E0
2.040738199E2,5.311033946E1,8.884909277E0,2.933789808E0,4.179114774E0,2.924795761E2,5.037246517E0,5.037246517E0
2.050737906E2,5.311037426E1,8.884852161E0,2.243431743E0,4.467859023E0,3.030718364E2,5.045526163E0,5.045526163E0
2.060737797E2,5.311039085E1,8.884791458E0,2.111790141E0,4.290501108E0,3.011502600E2,5.054225618E0,5.054225618E0
2.070737613E2,5.311041049E1,8.884725974E0,1.156510466E0,4.362350170E0,3.015344044E2,5.045503472E0,5.045503472E0
2.080737453E2,5.311042626E1,8.884656523E0,1.841836205E0,4.352912882E0,2.996129232E2,5.057021065E0,5.057021065E0
2.090737312E2,5.311045151E1,8.884586780E0,1.587813227E0,4.488929773E0,3.004159555E2,5.064386978E0,5.064386978E0
2.100737208E2,5.311048114E1,8.884521382E0,1.967774166E0,4.717795710E0,3.054508105E2,5.087456662E0,5.087456662E0
2.110737045E2,5.311050450E1,8.884482660E0,1.773447451E0,3.977631252E0,3.081235936E2,5.088511422E0,5.088511422E0
2.120736858E2,5.311054635E1,8.884422913E0,1.810637011E0,4.383413485E0,3.145442441E2,5.075132964E0,5.075132964E0
